Company,Product,Rate,Product Discount,Discounted Rate,Packets/Carton,Pieces/Packet,Stock Out,Multiple,Discount Editable,secondary_Discount,qualifying_Qty,additional_Secondary_Discount,additional_Qualifying_Qty,secondary_Available,Margin
Parle,Black Bourboon Choco 100gm (1*36) Mrp65,58.2967,,58.30,,36,TRUE,1,NO,,,,,FALSE,
Parle,Black Bourboon Vanilla 100gm(1*36) Mrp65,58.2967,,58.30,,36,FALSE,1,NO,,,,,FALSE,
Parle,Butter 20-20 25+5gm (1*144) Mrp 9,8.0682,5,7.66,12,12,TRUE,12,NO,,,,,FALSE,
Parle,Butter Cookies 200gm (1*50) Mrp 60,53.8219,,53.82,,50,TRUE,1,NO,,,,,FALSE,
Parle,Cashew 20-20 200gm (1x50) Mrp 70,62.7828,,62.78,,50,FALSE,1,NO,,,,,FALSE,
Parle,Cashew 20-20 60gm (1*144) Mrp20,17.9444,5,17.05,12,12,FALSE,12,NO,,,,,FALSE,
Parle,Cashew 20-20 75gm (1*72) Mrp25,22.4305,5,21.31,6,12,FALSE,1,NO,,,,,FALSE,
Parle,Chocolate Cream 105gm(1case*72pc) Mrp20,18.0009,,18.00,,72,TRUE,1,NO,,,,,FALSE,
Parle,Ellachi Gold 75gm (1x72) Mrp20,18.0009,,18.00,,72,FALSE,1,NO,,,,,FALSE,
Parle,Ellachi Kream 25+12.5gm (1*144) Mrp10,8.9948,,8.99,12,12,TRUE,12,NO,,,,,FALSE,
Parle,Gauva Candy 280gm (1*24),83.3714,,83.37,,24,FALSE,1,NO,,,,,FALSE,
Parle,Gauva Candy 840gm (1*12 Jars),250.0464,,250.05,,12,TRUE,1,NO,,,,,FALSE,
Parle,Gauva Chilli 700gm (1*12 Jars),208.3946,,208.39,,12,FALSE,1,NO,,,,,FALSE,
Parle,H&s American Butter 200gm (1*36) Mrp100,89.6881,,89.69,,36,TRUE,1,NO,,,,,FALSE,
Parle,H&s Bourbon 60gm (1x120) Mrp20,17.94,,17.94,10,12,FALSE,12,NO,,,,,FALSE,
Parle,H&s Bourbon 30gm (1x12 Jars) Mrp10,8.97,,8.97,12,25,TRUE,25,NO,,,,,FALSE,
Parle,H&s Cf Murano 75gm (1*48) Mrp100,89.69,,89.69,,48,FALSE,1,NO,,,,,FALSE,
Parle,H&S CF Choco and Hazel 60g (1*48) Mrp. 100,89.69,,89.69,,48,TRUE,1,NO,,,,,FALSE,
Parle,H&s Choco 412.5gm (1*12) Mrp250,224.2146,,224.21,,12,TRUE,1,NO,,,,,FALSE,
Parle,H&s Choco Roll 125gm (1*48) Mrp125,112.1073,,112.11,,48,FALSE,1,NO,,,,,FALSE,
Parle,H&s Fab 25gm Oraange 1*12 Mrp15,403.5908,,403.59,,12,TRUE,1,NO,,,,,FALSE,
Parle,H&s Fab 25gm Vanilla 1*12 Mrp15,403.5908,,403.59,,12,TRUE,1,NO,,,,,FALSE,
Parle,H&s Fab 25gm Straw 1*12 Mrp15,403.5908,,403.59,,12,TRUE,1,NO,,,,,FALSE,
Parle,H&s Fab Choco 112gm (1x60) Mrp 65,58.308,,58.31,,60,TRUE,1,NO,,,,,FALSE,
Parle,H&s Fab Straw 112gm (1x60) Mrp 65,58.308,,58.31,,60,TRUE,1,NO,,,,,FALSE,
Parle,Happy Happy 150g 1*36 Mrp50,44.8497,5,42.61,5,36,FALSE,1,NO,,,,,FALSE,
Parle,Happy Happy 60gm (1*96) Mrp 19,17.0404,,17.04,8,12,FALSE,12,NO,,,,,FALSE,
Parle,Hide & Seek 121gm (1*72) Mrp 75,67.26,,67.26,,72,FALSE,1,NO,,,,,FALSE,
Parle,Hide & Seek Jar 22gm (1*12) Mrp15,363.2611,,363.26,,12,FALSE,1,NO,,,,,FALSE,
Parle,Imli Candy 280gm (1*24),83.3714,,83.37,,24,FALSE,1,NO,,,,,FALSE,
Parle,Jam- In 150gm (1x30) Mrp70,62.7828,,62.78,,30,TRUE,1,NO,,,,,FALSE,
Parle,Kachha Mango 198gm (1x24),104.17,,104.17,,24,TRUE,1,NO,,,,,FALSE,
Parle,Krack Jack 200gm (1*40) Mrp 90,80.72,,80.72,,40,TRUE,1,NO,,,,,FALSE,
Parle,Kream Gold Choco 333.3gm (1*12) Mrp100,89.69,,89.69,,12,TRUE,1,NO,,,,,FALSE,
